# Point cloud data.
# File created by cg software.
# (C) Hochschule f√ºr Angewandte Wissenschaften, Hamburg.
#
# Format: pos0; Ñpos1; Ñpos2; Ñnor0; Ñnor1; Ñnor2
#
0,000167; Ñ0,050000; Ñ-0,003730; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000160; Ñ0,049000; Ñ-0,003630; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000119; Ñ0,048000; Ñ-0,003031; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000091; Ñ0,047000; Ñ-0,002632; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000042; Ñ0,046000; Ñ-0,001934; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000007; Ñ0,045000; Ñ-0,001435; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000063; Ñ0,044000; Ñ-0,000438; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000091; Ñ0,043000; Ñ-0,000039; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000154; Ñ0,042000; Ñ0,000859; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000181; Ñ0,041000; Ñ0,001258; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000167; Ñ0,040000; Ñ0,001059; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000070; Ñ0,039000; Ñ-0,000338; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000209; Ñ0,038000; Ñ-0,004328; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000237; Ñ0,037000; Ñ-0,004727; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000251; Ñ0,036000; Ñ-0,004927; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000370; Ñ0,035000; Ñ-0,006623; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000453; Ñ0,034000; Ñ-0,007820; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000453; Ñ0,033000; Ñ-0,007820; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000844; Ñ0,032000; Ñ-0,013406; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000844; Ñ0,031000; Ñ-0,013406; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,001179; Ñ0,030000; Ñ-0,018194; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,001179; Ñ0,029000; Ñ-0,018194; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,001590; Ñ0,028000; Ñ-0,024080; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,001590; Ñ0,027000; Ñ-0,024080; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,002037; Ñ0,026000; Ñ-0,030464; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,002044; Ñ0,025000; Ñ-0,030564; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,002100; Ñ0,024000; Ñ-0,031362; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,002232; Ñ0,023000; Ñ-0,033258; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,002288; Ñ0,022000; Ñ-0,034056; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,002393; Ñ0,021000; Ñ-0,035552; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,002462; Ñ0,020000; Ñ-0,036549; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,002476; Ñ0,019000; Ñ-0,036749; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,002525; Ñ0,018000; Ñ-0,037447; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,002623; Ñ0,017000; Ñ-0,038844; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,002727; Ñ0,016000; Ñ-0,040340; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,002727; Ñ0,015000; Ñ-0,040340; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,002769; Ñ0,014000; Ñ-0,040939; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,002769; Ñ0,013000; Ñ-0,040939; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,002755; Ñ0,012000; Ñ-0,040739; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,002734; Ñ0,011000; Ñ-0,040440; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,002734; Ñ0,010000; Ñ-0,040440; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,002713; Ñ0,009000; Ñ-0,040141; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,002665; Ñ0,008000; Ñ-0,039442; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,002665; Ñ0,007000; Ñ-0,039442; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,002602; Ñ0,006000; Ñ-0,038545; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,002602; Ñ0,005000; Ñ-0,038545; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,002462; Ñ0,004000; Ñ-0,036549; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,002462; Ñ0,003000; Ñ-0,036549; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,002246; Ñ0,002000; Ñ-0,033457; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000195; Ñ0,001000; Ñ0,001458; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000297; Ñ0,000000; Ñ0,001441; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000859; Ñ0,001000; Ñ-0,006779; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000859; Ñ0,002000; Ñ-0,006779; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,004602; Ñ0,003000; Ñ-0,033417; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,004602; Ñ0,004000; Ñ-0,033417; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,005048; Ñ0,005000; Ñ-0,036586; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,005048; Ñ0,006000; Ñ-0,036586; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,005229; Ñ0,007000; Ñ-0,037873; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,005437; Ñ0,008000; Ñ-0,039359; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,005437; Ñ0,009000; Ñ-0,039359; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,005549; Ñ0,010000; Ñ-0,040151; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,005549; Ñ0,011000; Ñ-0,040151; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,005604; Ñ0,012000; Ñ-0,040547; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,005674; Ñ0,013000; Ñ-0,041042; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,005674; Ñ0,014000; Ñ-0,041042; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,005702; Ñ0,015000; Ñ-0,041240; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,005632; Ñ0,016000; Ñ-0,040745; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,005632; Ñ0,017000; Ñ-0,040745; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,005590; Ñ0,018000; Ñ-0,040448; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,005590; Ñ0,019000; Ñ-0,040448; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,005577; Ñ0,020000; Ñ-0,040349; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,005577; Ñ0,021000; Ñ-0,040349; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,005284; Ñ0,022000; Ñ-0,038269; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,004936; Ñ0,023000; Ñ-0,035794; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,004936; Ñ0,024000; Ñ-0,035794; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,004491; Ñ0,025000; Ñ-0,032625; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,004491; Ñ0,026000; Ñ-0,032625; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,003962; Ñ0,027000; Ñ-0,028862; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,003962; Ñ0,028000; Ñ-0,028862; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,002849; Ñ0,029000; Ñ-0,020940; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,002849; Ñ0,030000; Ñ-0,020940; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,002849; Ñ0,031000; Ñ-0,020940; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,002167; Ñ0,032000; Ñ-0,016087; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,002167; Ñ0,033000; Ñ-0,016087; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000970; Ñ0,034000; Ñ-0,007571; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000678; Ñ0,035000; Ñ-0,005491; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000538; Ñ0,036000; Ñ-0,004501; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000525; Ñ0,037000; Ñ-0,004402; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000330; Ñ0,038000; Ñ-0,003016; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000004; Ñ0,039000; Ñ-0,000639; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000297; Ñ0,040000; Ñ0,001441; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000408; Ñ0,041000; Ñ0,002233; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000269; Ñ0,042000; Ñ0,001242; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000199; Ñ0,043000; Ñ0,000747; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000088; Ñ0,044000; Ñ-0,000045; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000004; Ñ0,045000; Ñ-0,000639; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000121; Ñ0,046000; Ñ-0,001530; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000191; Ñ0,047000; Ñ-0,002025; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000246; Ñ0,048000; Ñ-0,002422; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000288; Ñ0,049000; Ñ-0,002719; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000441; Ñ0,050000; Ñ-0,003808; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000413; Ñ0,051000; Ñ-0,003610; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000455; Ñ0,052000; Ñ-0,003907; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000511; Ñ0,053000; Ñ-0,004303; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000511; Ñ0,054000; Ñ-0,004303; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000469; Ñ0,055000; Ñ-0,004006; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000497; Ñ0,056000; Ñ-0,004204; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000441; Ñ0,057000; Ñ-0,003808; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000469; Ñ0,058000; Ñ-0,004006; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000483; Ñ0,059000; Ñ-0,004105; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000413; Ñ0,060000; Ñ-0,003610; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000455; Ñ0,061000; Ñ-0,003907; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000455; Ñ0,062000; Ñ-0,003907; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000413; Ñ0,063000; Ñ-0,003610; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000497; Ñ0,064000; Ñ-0,004204; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000483; Ñ0,065000; Ñ-0,004105; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000511; Ñ0,066000; Ñ-0,004303; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000469; Ñ0,067000; Ñ-0,004006; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000525; Ñ0,068000; Ñ-0,004402; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,002278; Ñ0,069000; Ñ-0,016879; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,002376; Ñ0,070000; Ñ-0,017573; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,002334; Ñ0,071000; Ñ-0,017276; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,002334; Ñ0,072000; Ñ-0,017276; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,002125; Ñ0,073000; Ñ-0,015790; Ñ0,000000; Ñ0,000000; Ñ0,000000
